V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	accession
1e-05	0.018214	1e-05	0.055971	0.003658	1e-05	0.638817	1e-05	0.28329	1e-05	UNT_038_new
0.310374	1e-05	1e-05	1e-05	0.224853	0.116509	0.291365	1e-05	0.056848	1e-05	UNT_019_new
0.559877	1e-05	1e-05	1e-05	1e-05	0.156196	0.266063	1e-05	0.017804	1e-05	UNT_027_new
1e-05	0.322599	1e-05	1e-05	1e-05	1e-05	0.677321	1e-05	1e-05	1e-05	UNT_021_new
1e-05	0.362538	1e-05	1.9e-05	1e-05	1e-05	0.621028	0.016354	1e-05	1e-05	UNT_031_reseq
0.055799	1e-05	0.272335	1e-05	1e-05	0.025004	0.577013	0.069799	1e-05	1e-05	UNT_052_reseq
0.179257	1.3e-05	1e-05	1e-05	1e-05	0.143406	0.363601	0.313673	1e-05	1e-05	UNT_050_reseq
1e-05	0.1819	1e-05	1e-05	1.3e-05	1e-05	0.507287	0.310741	1e-05	1e-05	UNT_058_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.164949	0.834971	1e-05	1e-05	UNT_020_new
1.3e-05	1e-05	1e-05	1e-05	0.098921	1.3e-05	0.49589	0.405113	1e-05	1e-05	UNT_040_reseq
1e-05	1.2e-05	1.1e-05	1e-05	1e-05	1e-05	0.213101	0.786815	1e-05	1e-05	UNT_023_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.229636	0.770284	1e-05	1e-05	UNT_001_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.232947	0.766973	1e-05	1e-05	UNT_022_reseq
1e-05	1e-05	1e-05	1e-05	0.452473	0.056808	0.49065	1e-05	1e-05	1e-05	UNT_010_reseq
1e-05	1e-05	1e-05	1e-05	0.635047	1e-05	0.364873	1e-05	1e-05	1e-05	UNT_059_reseq
0.430571	1e-05	0.036958	1e-05	1e-05	0.1057	0.426711	1e-05	1e-05	1e-05	UNT_024_reseq
0.523897	1e-05	0.004425	1e-05	1e-05	0.168522	0.303088	1e-05	1.7e-05	1e-05	UNT_026_reseq
0.556142	1e-05	0.004402	1e-05	1e-05	0.121795	0.317601	1e-05	1e-05	1e-05	UNT_028_reseq
0.425162	1.1e-05	0.096732	1e-05	1e-05	0.109026	0.36902	1e-05	1e-05	1e-05	UNT_039_reseq
1e-05	1e-05	1e-05	1e-05	0.200259	0.58133	0.218341	1e-05	1e-05	1e-05	UNT_007_reseq
0.044588	1e-05	1e-05	1e-05	1e-05	0.737522	0.115331	1e-05	0.102498	1e-05	UNT_015_reseq
1e-05	1e-05	0.125005	1e-05	1e-05	0.874915	1e-05	1e-05	1e-05	1e-05	UNT_006_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.898775	1e-05	1e-05	0.101145	1e-05	UNT_017_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.885475	0.08729	1e-05	1e-05	0.027165	UNT_034_reseq
1e-05	1e-05	1e-05	1.4e-05	1e-05	0.999902	1e-05	1.3e-05	1.1e-05	1e-05	UNT_005_reseq
1.3e-05	1e-05	0.071386	1.1e-05	1e-05	0.928528	1e-05	1.2e-05	1e-05	1e-05	UNT_016_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	UNT_011_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	UNT_013_reseq
1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999908	1e-05	1e-05	1e-05	1e-05	UNT_014_reseq
0.018289	1e-05	0.240666	0.305934	1e-05	0.065048	0.370012	1e-05	1e-05	1e-05	UNT_012_reseq
1e-05	1e-05	0.198541	0.240099	1e-05	0.152535	0.408766	1e-05	1e-05	1e-05	UNT_056_reseq
0.14288	1e-05	0.389961	1e-05	1e-05	0.068513	0.398586	1e-05	1e-05	1e-05	UNT_003_reseq
1.6e-05	1e-05	0.252475	0.048136	1e-05	0.613465	0.085858	1e-05	1e-05	1e-05	UNT_054_reseq
1e-05	1e-05	0.422319	1e-05	1e-05	0.577601	1e-05	1e-05	1e-05	1e-05	UNT_008_reseq
1e-05	1e-05	0.273181	1e-05	1.1e-05	0.726738	1e-05	1e-05	1e-05	1e-05	UNT_009_reseq
1e-05	1e-05	0.548734	1e-05	1e-05	0.056929	0.29811	0.096167	1e-05	1e-05	UNT_004_reseq
1e-05	1.1e-05	0.866392	1e-05	1e-05	1e-05	0.133527	1e-05	1e-05	1e-05	UNT_002_reseq
1e-05	1e-05	0.843945	1e-05	1e-05	1e-05	0.155975	1e-05	1e-05	1e-05	UNT_018_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.558454	1e-05	0.441466	1e-05	UNT_029_reseq
0.571204	1e-05	1e-05	1e-05	1e-05	1e-05	0.428716	1e-05	1e-05	1e-05	UNT_030_reseq
0.154257	0.065115	1e-05	1e-05	0.022796	1e-05	0.695156	1e-05	0.062626	1e-05	UNT_037_reseq
0.237257	1e-05	1e-05	1e-05	1e-05	0.043927	0.608065	0.016169	0.057101	0.037441	UNT_046_reseq
0.165096	0.074518	0.107198	0.012732	1e-05	0.062445	0.562703	1e-05	1e-05	0.015278	UNT_035_reseq
0.177933	0.003679	1e-05	0.055217	1e-05	0.14548	0.539692	1e-05	0.041611	0.036358	UNT_042_reseq
1e-05	1e-05	0.115108	0.063773	1e-05	0.407536	0.300892	1.7e-05	1e-05	0.112634	UNT_044_reseq
1e-05	1e-05	0.017554	0.334559	1e-05	0.263951	0.341636	1e-05	1e-05	0.04225	UNT_045_reseq
0.288248	1e-05	1e-05	0.011016	1e-05	0.217172	0.419278	1e-05	0.042223	0.022023	UNT_043_reseq
0.038383	1e-05	1e-05	0.047147	1e-05	0.162947	0.503672	1e-05	0.100786	0.147025	UNT_047_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.232646	1e-05	1e-05	0.767274	UNT_053_reseq
1e-05	0.039212	1e-05	0.124245	1e-05	1.4e-05	0.438042	1e-05	1e-05	0.398437	UNT_055_reseq
1e-05	1e-05	1e-05	0.386773	1e-05	1e-05	0.613147	1e-05	1e-05	1e-05	UNT_032_reseq
1e-05	0.339759	1e-05	1e-05	1e-05	1e-05	0.660161	1e-05	1e-05	1e-05	UNT_033_reseq
0.308882	1e-05	1e-05	1e-05	0.249929	1e-05	1e-05	1e-05	0.441119	1e-05	CAMPUB_057
0.25731	1e-05	1e-05	1e-05	0.140745	0.091316	0.203588	1e-05	0.306991	1e-05	UNT_025_new
0.523203	0.144759	0.034444	1e-05	0.149654	1.1e-05	0.046781	0.020979	0.080147	1e-05	CAMPUB_169
0.409846	0.131698	0.014534	1e-05	0.151927	1e-05	0.051077	0.023837	0.193021	0.02404	CAMPUB_226
0.055328	1e-05	1e-05	1e-05	0.636136	0.083944	1e-05	1e-05	0.224531	1e-05	CAMPUB_077
0.01399	1e-05	1e-05	1e-05	0.853579	1e-05	1e-05	1e-05	0.132361	1e-05	CAMPUB_172
1.3e-05	1e-05	1e-05	1e-05	0.661351	1e-05	1e-05	1e-05	0.338565	1e-05	CAMPUB_182
0.128152	1e-05	1e-05	1e-05	0.674593	1e-05	1e-05	1e-05	0.197186	1e-05	CAMPUB_031
1e-05	0.177231	1e-05	0.000629	0.327288	1e-05	0.060366	0.325234	0.099934	0.009288	CAMPUB_276
1.3e-05	1.4e-05	1e-05	1e-05	0.999903	1.1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_038
1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_039
1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_049
1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_052
0.135809	1e-05	1e-05	0.005298	0.580682	0.052322	1e-05	1e-05	0.225839	1e-05	CAMPUB_221
0.361108	1e-05	0.017839	0.020029	0.395752	1e-05	1e-05	1e-05	0.205222	1e-05	CAMPUB_045
0.080706	0.298718	1e-05	0.048392	0.242765	0.038448	1e-05	0.065412	0.158246	0.067292	CAMPUB_277
0.154844	0.320692	0.062966	1e-05	0.09843	0.013124	0.038737	0.116344	0.141019	0.053834	CAMPUB_036
0.491145	0.153989	1e-05	1e-05	0.017731	1e-05	1e-05	1e-05	0.337074	1e-05	CAMPUB_203
0.078841	0.490558	0.001409	1e-05	0.166779	1e-05	1e-05	0.000686	0.198552	0.063144	CAMPUB_209
0.371241	0.517384	1e-05	1e-05	0.036404	1e-05	1e-05	1e-05	1e-05	0.074911	CAMPUB_098
1e-05	0.531128	1e-05	0.419385	0.037746	1e-05	1e-05	0.011681	1e-05	1e-05	CAMPUB_099
0.190301	0.545326	0.018354	0.20957	0.010303	1.3e-05	1e-05	0.026103	1e-05	1e-05	CAMPUB_237
0.051302	0.262595	0.031684	0.066211	0.155485	1e-05	1e-05	0.089021	0.343672	1e-05	CAMPUB_157
1e-05	0.372939	1e-05	1e-05	1e-05	1e-05	1e-05	0.145556	0.389642	0.091803	CAMPUB_136
1.1e-05	0.197825	1.8e-05	0.412977	1e-05	1e-05	1e-05	0.110213	0.217042	0.061885	CAMPUB_211
0.370789	0.099736	1e-05	1e-05	1e-05	1e-05	1e-05	0.04595	0.483466	1e-05	CAMPUB_212
1e-05	0.323001	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.110029	0.566897	1e-05	CAMPUB_008
1e-05	0.053009	1e-05	1e-05	1e-05	1e-05	1e-05	0.117146	0.824771	0.005015	CAMPUB_040
1e-05	0.030851	0.237956	0.378791	1e-05	1e-05	1e-05	0.045368	0.157038	0.149956	CAMPUB_096
0.09987	0.233468	0.254048	0.316836	0.044548	1e-05	1e-05	0.014054	0.037145	1e-05	CAMPUB_101
0.223645	0.233051	0.039683	0.434543	1e-05	1e-05	0.060799	0.004788	1e-05	0.003462	CAMPUB_205
0.275142	0.052231	0.022448	0.566128	0.084001	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_219
0.284272	0.046987	0.019083	0.566259	0.083349	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_220
0.08092	0.091835	1e-05	0.579946	0.051015	1e-05	0.061095	1e-05	0.099325	0.035834	CAMPUB_164
0.086821	0.084187	1e-05	0.555104	0.087948	0.001977	1e-05	1e-05	0.178727	0.005206	CAMPUB_196
1e-05	1e-05	1e-05	0.457545	1e-05	1.5e-05	1e-05	1e-05	1e-05	0.54237	CAMPUB_192
1e-05	1e-05	1e-05	0.508036	1e-05	1e-05	1e-05	1e-05	1e-05	0.491884	CAMPUB_258
1e-05	1e-05	1e-05	0.524466	1e-05	1e-05	1e-05	1e-05	1e-05	0.475454	CAMPUB_195
1e-05	1.8e-05	1e-05	0.419194	1e-05	1e-05	1e-05	1e-05	1e-05	0.580717	CAMPUB_246
1e-05	1e-05	1e-05	0.472824	1e-05	1e-05	1e-05	1e-05	1e-05	0.527096	CAMPUB_162
1e-05	0.441872	1e-05	0.558048	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_233
1e-05	0.550834	1e-05	0.449086	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_242
1e-05	0.09634	1e-05	0.688837	1e-05	1.1e-05	1e-05	1e-05	0.208199	0.006562	CAMPUB_131
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_067
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_068
1e-05	1e-05	1.5e-05	0.999905	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_236
1e-05	1.3e-05	1e-05	0.9999	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_229
1e-05	1.3e-05	1e-05	0.999903	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	CAMPUB_256
