V1	V2	V3	accession
0.038869	0.85225	0.108881	UNT_013_reseq
0.030011	0.85987	0.11012	UNT_014_reseq
0.302158	0.609659	0.088183	UNT_007_reseq
0.040402	0.491331	0.468267	CAMPUB_165
0.076933	0.435566	0.487502	UNT_054_reseq
0.153976	0.726671	0.119352	UNT_015_reseq
0.239911	0.62676	0.133329	UNT_011_reseq
0.066486	0.80687	0.126643	UNT_017_reseq
0.048389	0.616368	0.335243	UNT_006_reseq
0.083569	0.700949	0.215481	UNT_005_reseq
0.087814	0.518199	0.393987	UNT_016_reseq
0.24479	0.510863	0.244346	CAMPUB_134
0.258283	0.567869	0.173848	UNT_034_reseq
0.489965	0.166326	0.343709	CAMPUB_156
0.437091	0.178775	0.384134	UNT_052_reseq
0.414284	0.233104	0.352612	UNT_012_reseq
0.353993	0.103515	0.542492	CAMPUB_232
0.393619	0.283956	0.322425	UNT_056_reseq
0.571458	1e-05	0.428532	CAMPUB_200
0.597719	1e-05	0.402271	CAMPUB_151
0.430402	1e-05	0.569588	CAMPUB_230
0.497154	1e-05	0.502836	CAMPUB_247
0.221979	0.374838	0.403183	CAMPUB_087
0.486319	0.008335	0.505345	CAMPUB_198
0.156588	0.314668	0.528744	UNT_003_reseq
0.431884	1e-05	0.568106	CAMPUB_089
0.474794	1e-05	0.525196	CAMPUB_112
0.286653	0.091399	0.621948	CAMPUB_095
0.050202	0.225881	0.723916	UNT_008_reseq
0.040925	0.359004	0.600071	UNT_009_reseq
1e-05	0.45944	0.54055	CAMPUB_090
0.043418	0.375223	0.581359	CAMPUB_088
0.358013	1e-05	0.641977	CAMPUB_119
0.145609	0.253601	0.60079	CAMPUB_250
1e-05	0.401521	0.598469	CAMPUB_199
0.277752	1e-05	0.722238	UNT_004_reseq
0.162572	0.091801	0.745627	CAMPUB_235
0.160894	0.052126	0.78698	CAMPUB_086
1e-05	0.021426	0.978564	CAMPUB_170
1e-05	1e-05	0.99998	CAMPUB_234
1e-05	1e-05	0.99998	CAMPUB_073
1e-05	1e-05	0.99998	CAMPUB_241
1e-05	1e-05	0.99998	CAMPUB_083
1e-05	1e-05	0.99998	CAMPUB_239
1e-05	1e-05	0.99998	CAMPUB_228
1e-05	1e-05	0.99998	CAMPUB_104
1.5e-05	1e-05	0.999975	CAMPUB_108
1e-05	1e-05	0.99998	CAMPUB_028
1e-05	1e-05	0.99998	UNT_018_reseq
1e-05	1e-05	0.99998	CAMPUB_033
1e-05	1e-05	0.99998	CAMPUB_231
1e-05	1e-05	0.99998	UNT_002_reseq
0.417333	1e-05	0.582657	CAMPUB_092
0.481019	1e-05	0.518971	CAMPUB_114
0.139651	0.854105	0.006244	CAMPUB_218
0.439794	0.54225	0.017956	UNT_046_reseq
0.518059	0.318813	0.163128	CAMPUB_079
