V1	V2	V3	V4	accession
0.096141	0.891645	1e-05	0.012204	UNT_038_new
0.202103	0.797877	1e-05	1e-05	UNT_019_new
0.180994	0.818986	1e-05	1e-05	UNT_027_new
1e-05	0.948149	1e-05	0.051831	UNT_021_new
1e-05	0.870643	1e-05	0.129337	UNT_031_reseq
1e-05	0.932287	0.067693	1e-05	UNT_052_reseq
0.031197	0.951721	1e-05	0.017072	UNT_050_reseq
1e-05	0.898168	1e-05	0.101812	UNT_058_reseq
1e-05	0.943473	1e-05	0.056507	UNT_020_new
1e-05	0.957912	1e-05	0.042068	UNT_040_reseq
1e-05	0.888653	1e-05	0.111327	UNT_023_reseq
1e-05	0.94786	1e-05	0.05212	UNT_001_reseq
1e-05	0.945601	1e-05	0.054379	UNT_022_reseq
0.100401	0.899579	1e-05	1e-05	UNT_010_reseq
0.091118	0.908862	1e-05	1e-05	UNT_059_reseq
0.123628	0.876352	1e-05	1e-05	UNT_024_reseq
0.134561	0.865419	1e-05	1e-05	UNT_026_reseq
0.154851	0.845129	1e-05	1e-05	UNT_028_reseq
0.099961	0.857117	0.042912	1e-05	UNT_039_reseq
0.030982	0.968998	1e-05	1e-05	UNT_007_reseq
0.044801	0.955179	1e-05	1e-05	UNT_015_reseq
1e-05	0.901211	0.098769	1e-05	UNT_006_reseq
1e-05	0.99997	1e-05	1e-05	UNT_017_reseq
1e-05	0.959952	0.040028	1e-05	UNT_034_reseq
1e-05	0.994056	0.005924	1e-05	UNT_005_reseq
1e-05	0.894294	0.105686	1e-05	UNT_016_reseq
1e-05	0.99997	1e-05	1e-05	UNT_011_reseq
0.001783	0.998197	1e-05	1e-05	UNT_013_reseq
0.010407	0.989573	1e-05	1e-05	UNT_014_reseq
1e-05	0.887788	0.097476	0.014726	UNT_012_reseq
1e-05	0.887388	0.112592	1e-05	UNT_056_reseq
1e-05	0.809105	0.190875	1e-05	UNT_003_reseq
1e-05	0.872269	0.127711	1e-05	UNT_054_reseq
1e-05	0.751355	0.248625	1e-05	UNT_008_reseq
1e-05	0.796059	0.203921	1e-05	UNT_009_reseq
1e-05	0.735307	0.264673	1e-05	UNT_004_reseq
1e-05	0.546196	0.453784	1e-05	UNT_002_reseq
1e-05	0.574075	0.425905	1e-05	UNT_018_reseq
0.085907	0.914073	1e-05	1e-05	UNT_029_reseq
0.127691	0.872289	1e-05	1e-05	UNT_030_reseq
0.021793	0.927012	1e-05	0.051184	UNT_037_reseq
0.073074	0.926906	1e-05	1e-05	UNT_046_reseq
1e-05	0.942625	0.047626	0.009739	UNT_035_reseq
0.056839	0.93764	1e-05	0.005511	UNT_042_reseq
1e-05	0.943244	0.056736	1e-05	UNT_044_reseq
1e-05	0.948661	1e-05	0.051319	UNT_045_reseq
0.087851	0.912129	1e-05	1e-05	UNT_043_reseq
1e-05	0.940979	1e-05	0.059001	UNT_047_reseq
1e-05	0.842599	1e-05	0.157381	UNT_053_reseq
1e-05	0.840035	1e-05	0.159945	UNT_055_reseq
1e-05	0.890295	1e-05	0.109685	UNT_032_reseq
1e-05	0.888318	1e-05	0.111662	UNT_033_reseq
0.99997	1e-05	1e-05	1e-05	CAMPUB_057
0.340518	0.659462	1e-05	1e-05	UNT_025_new
0.707568	0.067112	0.069936	0.155384	CAMPUB_169
0.663007	0.042189	0.034495	0.26031	CAMPUB_226
0.707933	0.145588	0.009448	0.137031	CAMPUB_077
0.782534	1e-05	1e-05	0.217446	CAMPUB_172
0.760897	0.049125	1e-05	0.189968	CAMPUB_182
0.795969	1e-05	1e-05	0.204011	CAMPUB_031
0.252186	0.145173	1e-05	0.602631	CAMPUB_276
0.588154	0.034712	0.007833	0.369302	CAMPUB_038
0.589512	1e-05	0.005022	0.405456	CAMPUB_039
0.57088	1e-05	1e-05	0.4291	CAMPUB_049
0.586978	1e-05	1e-05	0.413002	CAMPUB_052
0.728041	0.072035	0.001368	0.198557	CAMPUB_221
0.831844	1e-05	0.028914	0.139232	CAMPUB_045
0.39318	1e-05	0.021351	0.585459	CAMPUB_277
0.368785	0.118116	0.070333	0.442767	CAMPUB_036
0.826397	0.03663	1e-05	0.136963	CAMPUB_203
0.359554	0.006099	0.01163	0.622717	CAMPUB_209
0.395742	1e-05	0.019983	0.584265	CAMPUB_098
0.083093	1e-05	1e-05	0.916887	CAMPUB_099
0.221197	1e-05	0.023455	0.755338	CAMPUB_237
0.468064	1e-05	0.037404	0.494522	CAMPUB_157
0.256356	1e-05	1e-05	0.743624	CAMPUB_136
0.156903	1e-05	1e-05	0.843077	CAMPUB_211
0.747436	1e-05	1e-05	0.252544	CAMPUB_212
0.441143	1e-05	1e-05	0.558837	CAMPUB_008
0.584593	1e-05	1e-05	0.415387	CAMPUB_040
0.100723	1e-05	0.254124	0.645142	CAMPUB_096
0.209036	1e-05	0.272268	0.518686	CAMPUB_101
0.218452	0.088247	0.059145	0.634156	CAMPUB_205
0.355139	1e-05	0.069179	0.575672	CAMPUB_219
0.354937	0.026372	0.066518	0.552172	CAMPUB_220
0.249589	0.13767	1e-05	0.61273	CAMPUB_164
0.411196	1e-05	1e-05	0.588784	CAMPUB_196
1e-05	0.081143	1e-05	0.918837	CAMPUB_192
1e-05	0.017068	1e-05	0.982912	CAMPUB_258
1e-05	0.090916	1e-05	0.909064	CAMPUB_195
1e-05	0.085017	1e-05	0.914963	CAMPUB_246
