V1	V2	V3	V4	V5	accession
0.99996	1e-05	1e-05	1e-05	1e-05	UNT_013_reseq
0.99996	1e-05	1e-05	1e-05	1e-05	UNT_014_reseq
0.563515	0.202171	1e-05	0.010258	0.224045	UNT_007_reseq
0.570401	1e-05	0.393647	0.035932	1e-05	CAMPUB_165
0.541209	1e-05	0.355666	0.103105	1e-05	UNT_054_reseq
0.856991	0.040679	1e-05	1e-05	0.10231	UNT_015_reseq
0.837875	1e-05	1e-05	0.038981	0.123124	UNT_011_reseq
0.838281	0.161689	1e-05	1e-05	1e-05	UNT_017_reseq
0.802336	1e-05	0.197634	1e-05	1e-05	UNT_006_reseq
0.99996	1e-05	1e-05	1e-05	1e-05	UNT_005_reseq
0.78106	1e-05	0.21891	1e-05	1e-05	UNT_016_reseq
0.689587	1e-05	0.131045	0.067932	0.111427	CAMPUB_134
0.832135	1e-05	1e-05	0.062211	0.105634	UNT_034_reseq
0.129944	0.062112	0.340487	0.003488	0.463969	CAMPUB_156
0.206484	0.017102	0.360739	1e-05	0.415665	UNT_052_reseq
0.111411	0.037176	0.330595	0.520808	1e-05	UNT_012_reseq
1e-05	1e-05	0.502835	0.497135	1e-05	CAMPUB_232
0.106688	0.077064	0.300358	0.430548	0.085342	UNT_056_reseq
1e-05	1e-05	0.412789	0.212299	0.374892	CAMPUB_200
1e-05	1e-05	0.410985	1e-05	0.588985	CAMPUB_151
1.1e-05	1e-05	0.570642	1e-05	0.429328	CAMPUB_230
1e-05	1e-05	0.50978	1e-05	0.49019	CAMPUB_247
0.18819	0.159135	0.378538	0.274127	1e-05	CAMPUB_087
1e-05	1e-05	0.458924	0.541046	1e-05	CAMPUB_198
0.222678	0.143361	0.501643	1e-05	0.132309	UNT_003_reseq
1e-05	1e-05	0.567133	1e-05	0.432837	CAMPUB_089
1e-05	1e-05	0.529004	1e-05	0.470966	CAMPUB_112
1.2e-05	1e-05	0.597963	0.402005	1e-05	CAMPUB_095
0.41905	1e-05	0.58092	1e-05	1e-05	UNT_008_reseq
0.573682	1e-05	0.426288	1e-05	1e-05	UNT_009_reseq
1.6e-05	0.449888	0.550076	1e-05	1e-05	CAMPUB_090
0.22968	0.170982	0.564523	1e-05	0.034805	CAMPUB_088
1e-05	1e-05	0.64514	0.009576	0.345264	CAMPUB_119
1e-05	0.304696	0.59997	1e-05	0.095314	CAMPUB_250
0.339595	0.068586	0.580565	1e-05	0.011244	CAMPUB_199
1e-05	1e-05	0.7254	1e-05	0.27457	UNT_004_reseq
1e-05	1e-05	0.718376	0.281594	1e-05	CAMPUB_235
0.092877	1e-05	0.75651	1e-05	0.150593	CAMPUB_086
1e-05	0.028183	0.971787	1e-05	1e-05	CAMPUB_170
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_234
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_073
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_241
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_083
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_239
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_228
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_104
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_108
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_028
1e-05	1e-05	0.99996	1e-05	1e-05	UNT_018_reseq
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_033
1e-05	1e-05	0.99996	1e-05	1e-05	CAMPUB_231
1.5e-05	1e-05	0.999955	1e-05	1e-05	UNT_002_reseq
1e-05	1e-05	0.585913	1e-05	0.414057	CAMPUB_092
1e-05	1e-05	0.526309	1e-05	0.473661	CAMPUB_114
0.19807	0.711901	0.006062	1e-05	0.083957	CAMPUB_218
0.330332	0.282194	1e-05	1e-05	0.387454	UNT_046_reseq
1e-05	0.346044	0.174387	0.025326	0.454233	CAMPUB_079
1e-05	0.63492	1e-05	0.02391	0.34115	CAMPUB_255
0.198172	0.641214	1e-05	1e-05	0.160594	CAMPUB_056
1e-05	0.520545	0.03026	0.063746	0.385438	CAMPUB_157
0.046851	0.527974	1e-05	1e-05	0.425155	CAMPUB_223
0.102849	0.616258	1e-05	0.026985	0.253898	CAMPUB_225
0.172627	0.529563	0.035247	1e-05	0.262553	CAMPUB_025
1e-05	0.881777	1.2e-05	1e-05	0.118191	CAMPUB_111
0.002846	0.562162	1e-05	1e-05	0.434973	UNT_029_reseq
0.303885	0.532223	1e-05	1e-05	0.163872	CAMPUB_212
0.017463	0.930294	1e-05	1e-05	0.052223	CAMPUB_007
1.4e-05	0.874129	1e-05	1e-05	0.125837	CAMPUB_252
1e-05	0.885378	1e-05	1e-05	0.114592	CAMPUB_197
1e-05	0.964502	1e-05	1e-05	0.035468	CAMPUB_244
1e-05	0.99996	1e-05	1e-05	1e-05	CAMPUB_057
1e-05	0.99996	1e-05	1e-05	1e-05	UNT_025_new
0.137331	0.377526	0.016147	0.076276	0.39272	UNT_037_reseq
0.552563	0.393468	1e-05	1e-05	0.053949	UNT_030_reseq
0.290303	0.513149	0.043141	1e-05	0.153398	CAMPUB_169
0.201824	0.573232	0.031877	1e-05	0.193057	CAMPUB_226
0.363349	0.393129	0.030119	1e-05	0.213393	CAMPUB_124
0.654307	0.007465	0.175452	0.044049	0.118727	UNT_039_reseq
0.645065	0.072937	1e-05	1e-05	0.281977	CAMPUB_216
0.697327	1e-05	1e-05	0.302643	1e-05	CAMPUB_257
0.540573	0.459397	1e-05	1e-05	1e-05	CAMPUB_204
0.463769	0.536201	1e-05	1e-05	1e-05	CAMPUB_278
0.498055	0.501915	1e-05	1e-05	1e-05	UNT_057
0.747567	0.213836	0.006283	1e-05	0.032305	CAMPUB_035
0.99996	1e-05	1e-05	1e-05	1e-05	CAMPUB_055
0.99996	1e-05	1e-05	1e-05	1e-05	CAMPUB_173
0.304817	0.429346	0.143835	0.00749	0.114511	CAMPUB_207
0.438863	0.539383	0.021734	1e-05	1e-05	UNT_027_new
0.436431	0.492125	0.071424	1e-05	1e-05	UNT_028_reseq
0.468489	0.331866	0.088694	0.110941	1e-05	CAMPUB_041
0.441805	0.300189	0.094143	0.094766	0.069097	UNT_024_reseq
0.57154	0.354394	0.074046	1e-05	1e-05	UNT_026_reseq
0.493763	0.4166	0.089617	1e-05	1e-05	CAMPUB_120
0.472379	0.379704	0.147898	1e-05	1e-05	CAMPUB_160
0.558588	0.352887	0.088505	1e-05	1e-05	CAMPUB_171
0.554675	0.324744	0.120561	1e-05	1e-05	CAMPUB_262
0.115892	0.850646	0.032729	0.000722	1e-05	CAMPUB_045
0.168479	0.831491	1e-05	1e-05	1e-05	UNT_019_new
0.090536	0.835973	1e-05	0.048194	0.025287	CAMPUB_221
0.078997	0.38284	0.003455	0.073148	0.46156	CAMPUB_277
0.001889	0.648493	0.012403	1e-05	0.337205	UNT_059_reseq
1e-05	0.732842	1e-05	1e-05	0.267128	CAMPUB_038
1e-05	0.726935	1e-05	1e-05	0.273035	CAMPUB_039
1e-05	0.713038	1e-05	1e-05	0.286932	CAMPUB_049
1e-05	0.715964	1e-05	1e-05	0.284006	CAMPUB_052
1e-05	0.899489	0.003768	0.001847	0.094885	CAMPUB_031
1e-05	0.368675	1e-05	1e-05	0.631295	CAMPUB_276
0.100379	0.568988	1e-05	0.063803	0.26682	UNT_010_reseq
0.069042	0.829618	0.007051	1e-05	0.09428	CAMPUB_077
1e-05	0.957515	1e-05	0.042455	1e-05	CAMPUB_172
1e-05	0.951433	1e-05	1e-05	0.048537	CAMPUB_182
0.360028	1e-05	0.199331	0.269191	0.17144	UNT_044_reseq
0.293309	1e-05	0.037503	0.618992	0.050186	UNT_045_reseq
0.430219	0.30588	0.009389	0.141232	0.113281	UNT_043_reseq
0.262455	0.159204	1e-05	0.20806	0.370271	UNT_047_reseq
0.067629	0.123551	0.2567	0.334939	0.217181	CAMPUB_101
0.214925	0.019067	0.053252	0.486696	0.22606	CAMPUB_205
0.026286	0.231556	1e-05	0.616031	0.126117	CAMPUB_164
0.061457	0.294444	1e-05	0.566072	0.078018	CAMPUB_196
0.176226	0.203131	0.035633	0.585	1e-05	CAMPUB_219
0.187362	0.199798	0.030755	0.582075	1e-05	CAMPUB_220
1e-05	1e-05	1e-05	0.621047	0.378923	CAMPUB_233
1e-05	1e-05	1e-05	0.522042	0.477928	CAMPUB_242
1e-05	0.153299	1e-05	0.724723	0.121957	CAMPUB_131
1.3e-05	1e-05	1e-05	0.999957	1e-05	CAMPUB_236
1e-05	1e-05	1e-05	0.99996	1e-05	CAMPUB_067
1.2e-05	1.8e-05	1.3e-05	0.999947	1e-05	CAMPUB_068
1.2e-05	1.1e-05	1e-05	0.999957	1e-05	CAMPUB_229
1.3e-05	1e-05	1e-05	0.999957	1e-05	CAMPUB_256
1e-05	1e-05	1e-05	0.99996	1e-05	CAMPUB_253
1e-05	1e-05	1e-05	0.99996	1e-05	CAMPUB_063
1e-05	1e-05	1e-05	0.99996	1e-05	CAMPUB_240
0.122985	0.236332	0.053802	0.025731	0.56115	CAMPUB_110
0.112226	0.300048	0.06812	1e-05	0.519596	CAMPUB_036
