V1	V2	V3	V4	V5	V6	accession
0.245165	0.0284	0.061969	0.664446	1e-05	1e-05	UNT_038_new
0.029225	1e-05	0.169456	0.80129	1e-05	1e-05	UNT_019_new
1e-05	1e-05	0.112894	0.887066	1e-05	1e-05	UNT_027_new
0.413744	1e-05	1e-05	0.586216	1e-05	1e-05	UNT_021_new
0.406096	1e-05	1e-05	0.520399	1e-05	0.073475	UNT_031_reseq
0.249017	1e-05	1e-05	0.711953	0.039001	1e-05	UNT_052_reseq
0.428548	1e-05	1e-05	0.571412	1e-05	1e-05	UNT_050_reseq
0.60023	1.5e-05	1e-05	0.399725	1e-05	1e-05	UNT_058_reseq
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_020_new
0.627492	1e-05	1e-05	0.372468	1e-05	1e-05	UNT_040_reseq
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_023_reseq
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_001_reseq
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_022_reseq
0.169864	1e-05	0.076429	0.753677	1e-05	1e-05	UNT_010_reseq
0.188396	1.4e-05	0.06488	0.74669	1e-05	1e-05	UNT_059_reseq
0.01651	1.4e-05	0.091693	0.891763	1e-05	1e-05	UNT_024_reseq
1e-05	1e-05	0.082846	0.917114	1e-05	1e-05	UNT_026_reseq
1e-05	1e-05	0.104441	0.895519	1e-05	1e-05	UNT_028_reseq
0.037593	1e-05	0.087691	0.869448	0.005248	1e-05	UNT_039_reseq
0.1107	1e-05	1e-05	0.88926	1e-05	1e-05	UNT_007_reseq
0.017825	1e-05	1e-05	0.982135	1e-05	1e-05	UNT_015_reseq
1e-05	1e-05	1e-05	0.949392	0.050568	1e-05	UNT_006_reseq
1.5e-05	1e-05	1e-05	0.999945	1e-05	1e-05	UNT_017_reseq
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	UNT_034_reseq
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	UNT_005_reseq
1e-05	1e-05	1e-05	0.944032	0.055928	1e-05	UNT_016_reseq
0.035145	1e-05	1e-05	0.964815	1e-05	1e-05	UNT_011_reseq
1.5e-05	1.1e-05	1e-05	0.999944	1e-05	1e-05	UNT_013_reseq
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	UNT_014_reseq
0.013588	0.178436	1e-05	0.783972	0.023984	1e-05	UNT_012_reseq
0.015576	0.097339	1e-05	0.846088	0.040977	1e-05	UNT_056_reseq
0.007161	1e-05	1e-05	0.846364	0.146444	1e-05	UNT_003_reseq
1e-05	1e-05	1e-05	0.92969	0.07027	1e-05	UNT_054_reseq
1e-05	1e-05	1e-05	0.806096	0.193864	1e-05	UNT_008_reseq
1e-05	1e-05	1e-05	0.851045	0.148915	1e-05	UNT_009_reseq
0.158284	1e-05	1e-05	0.607385	0.234301	1e-05	UNT_004_reseq
1e-05	1e-05	1e-05	0.600588	0.399372	1e-05	UNT_002_reseq
1e-05	1e-05	1e-05	0.629415	0.370545	1e-05	UNT_018_reseq
0.248904	1.3e-05	0.060742	0.690321	1e-05	1e-05	UNT_029_reseq
0.052831	1e-05	0.09262	0.854519	1e-05	1e-05	UNT_030_reseq
0.2068	1e-05	1e-05	0.741332	1e-05	0.051838	UNT_037_reseq
0.194973	1e-05	0.042833	0.762165	1e-05	1e-05	UNT_046_reseq
0.221856	0.008227	1e-05	0.749802	0.014538	0.005567	UNT_035_reseq
0.173813	0.042489	1.2e-05	0.783666	1e-05	1e-05	UNT_042_reseq
0.004632	0.028334	1e-05	0.967005	1e-05	1e-05	UNT_044_reseq
1e-05	0.17047	1e-05	0.82949	1e-05	1e-05	UNT_045_reseq
0.018763	1e-05	0.050967	0.93024	1e-05	1e-05	UNT_043_reseq
0.117184	0.022446	1.2e-05	0.815154	1e-05	0.045194	UNT_047_reseq
0.215353	1e-05	1e-05	0.60248	1e-05	0.182138	UNT_053_reseq
0.201929	0.058118	1e-05	0.632711	1e-05	0.107221	UNT_055_reseq
0.22382	0.161631	1e-05	0.614519	1e-05	1e-05	UNT_032_reseq
0.375997	1e-05	1e-05	0.560098	1e-05	0.063875	UNT_033_reseq
1e-05	1.3e-05	0.999947	1e-05	1e-05	1e-05	CAMPUB_057
1e-05	1.6e-05	0.302168	0.697787	1e-05	1e-05	UNT_025_new
0.01393	1e-05	0.694919	0.061818	0.06868	0.160644	CAMPUB_169
0.00783	1e-05	0.649628	0.045578	0.0387	0.258255	CAMPUB_226
0.018274	1e-05	0.704548	0.134549	0.00096	0.141658	CAMPUB_077
1e-05	0.036583	0.789326	1e-05	1e-05	0.17406	CAMPUB_172
0.018953	1e-05	0.771211	0.035627	1e-05	0.174188	CAMPUB_182
1e-05	0.001377	0.806013	1e-05	1e-05	0.19258	CAMPUB_031
0.244305	0.016229	0.330627	1e-05	1e-05	0.408819	CAMPUB_276
0.004843	1e-05	0.59155	0.040601	0.009462	0.353533	CAMPUB_038
1e-05	1e-05	0.596337	1e-05	0.012264	0.391369	CAMPUB_039
1e-05	0.009448	0.583963	1e-05	1e-05	0.406559	CAMPUB_049
0.003605	0.011589	0.601964	1e-05	1e-05	0.382822	CAMPUB_052
1e-05	0.058968	0.719312	0.075026	1e-05	0.146674	CAMPUB_221
1e-05	0.049896	0.82402	1e-05	0.029806	0.096257	CAMPUB_045
0.002472	0.061497	0.410271	0.00139	0.023847	0.500522	CAMPUB_277
0.091426	1e-05	0.372013	0.063474	0.078745	0.394332	CAMPUB_036
1e-05	1e-05	0.802659	0.038364	1e-05	0.158947	CAMPUB_203
1e-05	1e-05	0.359418	0.02772	0.008317	0.604525	CAMPUB_209
1e-05	0.007573	0.397928	1e-05	0.022136	0.572344	CAMPUB_098
1e-05	0.411945	0.026363	1e-05	1e-05	0.561662	CAMPUB_099
1e-05	0.203205	0.203629	0.017956	0.019884	0.555315	CAMPUB_237
0.031454	0.056808	0.478083	1e-05	0.037638	0.396007	CAMPUB_157
0.016858	0.012393	0.290489	1e-05	1e-05	0.68024	CAMPUB_136
1e-05	0.418276	0.143287	1e-05	1e-05	0.438407	CAMPUB_211
1e-05	1e-05	0.74747	1e-05	1e-05	0.25249	CAMPUB_212
1e-05	1e-05	0.447197	1e-05	1e-05	0.552763	CAMPUB_008
1e-05	1e-05	0.600251	1e-05	1e-05	0.399709	CAMPUB_040
1e-05	0.369622	0.085686	1e-05	0.239146	0.305526	CAMPUB_096
1e-05	0.319826	0.199013	1e-05	0.255234	0.225907	CAMPUB_101
0.015982	0.432941	0.1903	0.079989	0.049542	0.231246	CAMPUB_205
1.1e-05	0.567666	0.36666	1e-05	0.037439	0.028213	CAMPUB_219
0.019196	0.566489	0.376546	1e-05	0.037749	1e-05	CAMPUB_220
0.003759	0.534838	0.206319	0.122801	1e-05	0.132273	CAMPUB_164
1e-05	0.495557	0.364584	1e-05	1e-05	0.139829	CAMPUB_196
1e-05	0.423868	1e-05	0.075592	1e-05	0.50051	CAMPUB_192
1e-05	0.496205	1e-05	0.007876	1e-05	0.495889	CAMPUB_258
1e-05	0.467488	1e-05	0.08195	1e-05	0.450532	CAMPUB_195
1e-05	0.384352	1e-05	0.086426	1e-05	0.529192	CAMPUB_246
1e-05	0.459839	1e-05	0.048341	1e-05	0.49179	CAMPUB_162
0.016203	0.623377	1e-05	7.1e-05	1e-05	0.360329	CAMPUB_233
1e-05	0.529826	1e-05	1e-05	1e-05	0.470134	CAMPUB_242
0.008481	0.698118	0.13121	1e-05	1e-05	0.16217	CAMPUB_131
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_067
1e-05	0.99994	1.9e-05	1e-05	1.2e-05	1e-05	CAMPUB_068
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_236
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_229
1e-05	0.999949	1e-05	1e-05	1.1e-05	1e-05	CAMPUB_256
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_253
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_063
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CAMPUB_240
0.305696	1e-05	1e-05	1e-05	0.242063	0.452211	CAMPUB_154
0.256108	6.3e-05	0.397516	1e-05	0.084861	0.261443	CAMPUB_147
0.329506	1e-05	0.390685	1e-05	1e-05	0.279779	CAMPUB_078
0.260749	1e-05	0.489715	1e-05	1e-05	0.249506	CAMPUB_149
0.250607	1e-05	1e-05	1e-05	1e-05	0.749353	CAMPUB_210
0.239808	1e-05	0.174565	1e-05	1e-05	0.585597	CAMPUB_161
0.384782	1.2e-05	1e-05	1e-05	1e-05	0.615176	CAMPUB_138
0.410119	1.2e-05	1e-05	1e-05	1e-05	0.58984	CAMPUB_243
0.399932	1.3e-05	1e-05	1e-05	1e-05	0.600025	CAMPUB_145
0.384092	1e-05	1.4e-05	1e-05	1e-05	0.615864	CAMPUB_180
