V1	V2	V3	V4	V5	V6	V7	accession
0.026342	0.116377	1e-05	1e-05	0.138156	0.702127	0.016979	UNT_010
0.145552	0.056255	1e-05	1e-05	1e-05	0.798153	1e-05	CAMPUB_077
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_172
0.139328	1e-05	1e-05	1e-05	1e-05	0.860622	1e-05	CAMPUB_182
0.16643	1e-05	1e-05	1e-05	1e-05	0.83352	1e-05	CAMPUB_031
1e-05	1e-05	0.008383	1e-05	0.196005	0.454021	0.34156	CAMPUB_276
0.230856	0.041892	1e-05	1e-05	1e-05	0.727212	1e-05	CAMPUB_221
0.159753	0.069175	0.033635	1e-05	0.395098	0.286594	0.055735	CAMPUB_277
0.213495	0.130521	0.052811	0.15173	0.369058	0.037475	0.044911	UNT_035
0.266009	0.220191	0.095699	0.01649	0.255405	0.078392	0.067815	UNT_042
1e-05	0.429452	0.155417	0.196078	0.219023	1e-05	1e-05	UNT_044
0.073116	0.295266	0.494354	0.03388	0.103364	1e-05	1e-05	UNT_045
0.409928	0.252997	0.066897	0.005643	0.168361	0.096164	1e-05	UNT_043
0.207105	0.242127	0.10908	1e-05	0.405045	0.030736	0.005897	UNT_047
1e-05	0.611413	1.9e-05	1e-05	0.071995	0.311538	0.005015	UNT_007
1e-05	0.915704	1e-05	1e-05	1e-05	0.083525	0.000732	UNT_011
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_013
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_014
0.202415	0.744793	1e-05	1e-05	0.005062	1e-05	0.047701	UNT_015
0.159395	0.840555	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_017
0.03152	0.586851	0.01542	0.366173	1e-05	1.6e-05	1e-05	CAMPUB_165
1e-05	0.544359	0.107	0.3486	1e-05	1e-05	1e-05	UNT_054
1e-05	0.4625	1e-05	0.53745	1e-05	1e-05	1e-05	UNT_008
1e-05	0.624788	1e-05	0.375162	1e-05	1e-05	1e-05	UNT_009
1e-05	0.847842	1e-05	0.067217	0.084901	1e-05	1e-05	CAMPUB_134
1e-05	0.920003	1e-05	1e-05	0.079947	1e-05	1e-05	UNT_034
1e-05	0.829985	1e-05	0.169965	1e-05	1e-05	1e-05	UNT_006
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_005
1e-05	0.841109	1e-05	0.158841	1e-05	1e-05	1e-05	UNT_016
0.244816	1e-05	0.070454	0.033578	0.316827	0.250006	0.08431	CAMPUB_157
0.205058	0.031804	0.006919	0.153159	0.453524	0.120455	0.029081	CAMPUB_079
0.116041	0.019046	0.321882	0.250221	0.228237	0.047626	0.016947	CAMPUB_101
0.470649	0.043132	0.023604	0.137089	0.045712	0.226472	0.053341	CAMPUB_207
0.136613	1e-05	0.012823	0.286562	0.46892	0.081543	0.01353	CAMPUB_158
1e-05	1e-05	1e-05	0.375029	0.624921	1e-05	1e-05	CAMPUB_214
0.092072	0.11429	0.485484	0.308123	1e-05	1e-05	1e-05	UNT_012
1e-05	1e-05	0.513743	0.486207	1e-05	1e-05	1e-05	CAMPUB_232
0.026889	0.183587	0.387668	0.249986	0.087239	0.064621	1e-05	UNT_056
0.147622	0.026328	0.012352	0.339673	0.236984	0.012454	0.224587	CAMPUB_156
0.137258	0.118276	1e-05	0.346534	0.165523	0.014301	0.218097	UNT_052
1e-05	1e-05	0.185667	0.406952	0.407341	1e-05	1e-05	CAMPUB_200
1e-05	1e-05	1e-05	0.397977	0.601973	1e-05	1e-05	CAMPUB_151
1e-05	1e-05	1e-05	0.550211	0.449739	1e-05	1e-05	CAMPUB_230
1e-05	1e-05	1e-05	0.503305	0.496645	1e-05	1e-05	CAMPUB_247
0.234867	0.114297	0.285558	0.365247	1e-05	1e-05	1e-05	CAMPUB_087
1e-05	1e-05	0.546811	0.453139	1e-05	1e-05	1e-05	CAMPUB_198
1e-05	1e-05	1e-05	0.555834	0.444116	1e-05	1e-05	CAMPUB_089
1e-05	1e-05	1e-05	0.533682	0.466268	1e-05	1e-05	CAMPUB_112
1e-05	1e-05	1e-05	0.579862	0.420088	1e-05	1e-05	CAMPUB_092
1e-05	1e-05	1e-05	0.512054	0.487896	1e-05	1e-05	CAMPUB_114
0.181073	0.126303	1e-05	0.470865	0.096565	0.109852	0.015333	UNT_003
1e-05	1e-05	0.415923	0.584027	1e-05	1e-05	1e-05	CAMPUB_095
1e-05	1e-05	0.003133	0.627618	0.313787	0.015545	0.039897	CAMPUB_119
0.337795	1e-05	1e-05	0.567552	0.073823	0.0208	1e-05	CAMPUB_088
0.463216	1e-05	1e-05	0.536733	1e-05	1e-05	1e-05	CAMPUB_090
1e-05	0.070102	1.1e-05	0.685021	1e-05	1e-05	0.244837	UNT_004
0.391766	1e-05	1e-05	0.588225	0.019968	1e-05	1e-05	CAMPUB_199
0.240083	1e-05	1e-05	0.585611	0.171297	0.000491	0.002498	CAMPUB_250
1.2e-05	1e-05	0.296837	0.703104	1e-05	1.7e-05	1e-05	CAMPUB_235
0.046965	0.038773	1e-05	0.749245	0.129762	0.004906	0.030339	CAMPUB_086
1e-05	1.3e-05	1e-05	0.999937	1e-05	1e-05	1e-05	UNT_002
1e-05	0.023723	1e-05	0.976227	1e-05	1e-05	1e-05	UNT_018
0.045969	1e-05	1e-05	0.953981	1e-05	1e-05	1e-05	CAMPUB_170
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_231
1e-05	1.1e-05	1e-05	0.999937	1e-05	1.1e-05	1e-05	CAMPUB_241
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_234
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_073
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_228
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_083
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_239
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_104
1e-05	1e-05	1e-05	0.999939	1e-05	1.1e-05	1e-05	CAMPUB_108
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_028
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CAMPUB_033
0.62775	1e-05	1e-05	0.0365	0.218505	0.083595	0.033629	CAMPUB_124
0.687049	0.01195	1e-05	1e-05	0.114157	0.154732	0.032092	CAMPUB_218
0.364191	0.151459	1e-05	1e-05	0.31054	0.078047	0.095743	UNT_046
0.554399	1e-05	1e-05	0.053454	0.159341	0.210726	0.022059	CAMPUB_169
0.521285	1e-05	1e-05	0.03884	0.193204	0.226066	0.020585	CAMPUB_226
0.913947	1e-05	1e-05	0.012166	0.073847	1e-05	1e-05	CAMPUB_035
0.822436	0.066786	1e-05	1e-05	0.078043	0.026563	0.006153	UNT_030
0.516203	0.168592	0.01885	0.1781	0.10371	1e-05	0.014535	UNT_039
0.683781	1e-05	1e-05	1e-05	0.316169	1e-05	1e-05	CAMPUB_216
0.658012	1e-05	0.341938	1e-05	1e-05	1e-05	1e-05	CAMPUB_257
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_278
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_057
0.999932	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_204
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_055
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_173
0.653013	0.042855	0.097339	0.094334	0.001465	0.110984	1e-05	CAMPUB_041
0.469667	0.16993	0.052738	0.080681	0.084578	0.142396	1e-05	UNT_024
0.625757	0.024594	1.1e-05	0.155878	0.016727	0.177022	1e-05	CAMPUB_160
0.632603	0.079711	1e-05	0.095492	1e-05	0.192164	1e-05	CAMPUB_171
0.647652	0.07602	1e-05	0.124139	1e-05	0.152159	1e-05	CAMPUB_262
0.636016	0.049688	1e-05	0.11221	1.2e-05	0.202054	1e-05	CAMPUB_120
0.634816	0.20506	1e-05	0.07347	1e-05	0.086625	1e-05	UNT_026
0.653855	0.178885	1e-05	0.031724	1e-05	0.135506	1e-05	UNT_027
0.65566	0.142296	1e-05	0.067732	1e-05	0.134282	1e-05	UNT_028
0.576788	1e-05	1e-05	1.9e-05	1e-05	0.423153	1e-05	CAMPUB_057
0.535785	0.058143	1.5e-05	1e-05	1.3e-05	0.406024	1e-05	UNT_025
0.470319	1e-05	1e-05	0.033059	1e-05	0.496582	1e-05	CAMPUB_045
0.440358	0.114149	1e-05	0.001128	1e-05	0.444334	1e-05	UNT_019
0.538158	0.009688	1e-05	1e-05	0.160109	0.255626	0.036399	CAMPUB_056
0.275018	1e-05	1e-05	1e-05	0.358932	0.313032	0.052988	CAMPUB_223
0.447012	0.009255	0.038552	1e-05	0.24727	0.202092	0.055809	CAMPUB_225
0.514395	0.014145	1e-05	0.036032	0.271376	0.119696	0.044347	CAMPUB_025
0.706709	1e-05	1e-05	1e-05	0.195836	0.072866	0.024559	CAMPUB_111
0.431023	0.072739	1e-05	1e-05	0.373048	0.050442	0.072728	UNT_029
0.433916	1e-05	1e-05	1e-05	0.424305	0.141739	1e-05	CAMPUB_255
0.641907	0.008971	0.00992	1e-05	0.084386	0.239612	0.015194	CAMPUB_007
0.575729	1e-05	1e-05	1e-05	0.204409	0.219822	1e-05	CAMPUB_252
0.660995	0.021065	1e-05	1e-05	0.16037	0.094495	0.063056	CAMPUB_197
0.70511	1e-05	1e-05	1e-05	0.155035	0.118126	0.021698	CAMPUB_244
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	UNT_059
1e-05	1e-05	1e-05	1e-05	1.6e-05	0.999934	1e-05	CAMPUB_038
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_039
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_049
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	CAMPUB_052
0.273633	0.113018	0.005865	0.017099	0.39529	0.163534	0.031559	UNT_037
0.735127	1e-05	1e-05	1e-05	0.197841	0.066992	1e-05	CAMPUB_203
0.177764	1e-05	1e-05	0.002793	0.573284	0.24613	1e-05	CAMPUB_209
0.253988	0.029116	0.019907	0.039165	0.518726	0.054959	0.084138	CAMPUB_074
0.609988	1.4e-05	0.00679	0.007342	0.354804	1e-05	0.021052	CAMPUB_152
0.367649	0.117953	0.002323	0.029207	0.295493	0.146873	0.040502	CAMPUB_259
0.354449	0.069293	0.016676	0.055546	0.303184	0.122562	0.07829	CAMPUB_261
0.258612	0.018479	1e-05	0.032741	0.522852	0.110377	0.05693	CAMPUB_123
0.368749	0.087724	1e-05	0.077843	0.342639	0.074417	0.048618	CAMPUB_029
0.372561	0.088213	1e-05	0.076573	0.33693	0.076769	0.048945	CAMPUB_030
0.073456	0.115575	1e-05	0.271533	0.539406	1e-05	1e-05	CAMPUB_084
0.300126	0.03992	1e-05	0.053061	0.531377	0.075496	1e-05	CAMPUB_271
0.72198	1e-05	1e-05	1e-05	0.203235	0.024981	0.049774	CAMPUB_212
0.218065	1e-05	0.015778	1e-05	0.564219	0.056992	0.144925	CAMPUB_136
0.105343	1e-05	0.447804	1e-05	0.341998	1e-05	0.104825	CAMPUB_211
0.363657	1e-05	1e-05	1e-05	0.457774	0.052904	0.125635	CAMPUB_008
0.451748	1e-05	1e-05	1e-05	0.331979	0.128009	0.088234	CAMPUB_040
0.052784	0.035417	0.377589	0.246908	0.249419	1e-05	0.037873	CAMPUB_096
0.216951	1e-05	0.46731	0.05066	0.229528	0.002875	0.032667	CAMPUB_205
0.131552	1.3e-05	0.603697	1e-05	0.142907	0.121811	1e-05	CAMPUB_164
0.174286	0.03118	0.560184	1e-05	0.115341	0.11899	1e-05	CAMPUB_196
0.233916	1e-05	0.599519	0.031925	1e-05	0.134611	1e-05	CAMPUB_219
0.239605	1e-05	0.597659	0.029775	1e-05	0.132931	1e-05	CAMPUB_220
