V1	V2	V3	V4	V5	V6	V7	V8	accession
0.117315	0.610278	1e-05	0.037829	0.019519	0.133522	1e-05	0.081517	UNT_010_reseq
0.034163	0.89757	1e-05	1e-05	0.007242	0.060985	1e-05	1e-05	CAMPUB_077
1e-05	0.992847	1e-05	1e-05	1e-05	1e-05	0.007093	1e-05	CAMPUB_172
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_182
0.036022	0.902485	0.003519	1e-05	0.051616	1e-05	0.006198	0.00014	CAMPUB_031
0.240027	0.40488	1e-05	0.338221	1e-05	1e-05	0.005789	0.011052	CAMPUB_276
1e-05	0.827398	1e-05	1e-05	0.083619	0.060353	0.025686	0.002914	CAMPUB_221
0.351906	0.36108	1e-05	0.049534	0.064096	0.065555	0.030759	0.07706	CAMPUB_277
0.346104	0.015641	0.13854	0.033961	0.243716	0.130215	0.049492	0.042332	UNT_035_reseq
0.210412	0.128058	0.0079	0.058129	0.233471	0.215341	0.088803	0.057887	UNT_042_reseq
1e-05	1e-05	0.195675	1e-05	1e-05	0.41616	0.153056	0.235069	UNT_044_reseq
1e-05	0.024829	0.035566	1e-05	0.038787	0.289348	0.490678	0.120772	UNT_045_reseq
0.062945	0.174565	1e-05	1e-05	0.364032	0.241179	0.071461	0.085799	UNT_043_reseq
0.150295	0.179665	1e-05	0.007741	0.090987	0.229493	0.114726	0.227084	UNT_047_reseq
0.065547	0.255445	1e-05	0.018162	1e-05	0.608185	1e-05	0.052631	UNT_007_reseq
1e-05	1.3e-05	1e-05	0.009116	1e-05	0.990821	1e-05	1e-05	UNT_011_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	UNT_013_reseq
1e-05	1e-05	1e-05	1.1e-05	1e-05	0.999929	1e-05	1e-05	UNT_014_reseq
0.033926	0.128087	1e-05	0.015435	0.090154	0.732368	1e-05	1e-05	UNT_015_reseq
1e-05	0.200769	1e-05	1e-05	1e-05	0.799171	1e-05	1e-05	UNT_017_reseq
1e-05	1.3e-05	0.352114	1e-05	0.073201	0.572784	0.001858	1e-05	CAMPUB_165
1e-05	1e-05	0.348119	1e-05	1e-05	0.544559	0.107272	1e-05	UNT_054_reseq
1e-05	1.7e-05	0.536064	1e-05	1e-05	0.463869	1e-05	1e-05	UNT_008_reseq
1e-05	1e-05	0.373666	1e-05	1e-05	0.626274	1e-05	1e-05	UNT_009_reseq
1e-05	1.9e-05	0.06731	1.6e-05	1e-05	0.836153	1e-05	0.096472	CAMPUB_134
1e-05	1e-05	1e-05	1e-05	1e-05	0.921208	1e-05	0.078732	UNT_034_reseq
1e-05	1e-05	0.168271	1e-05	1e-05	0.831669	1e-05	1e-05	UNT_006_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	UNT_005_reseq
1e-05	1e-05	0.157808	1e-05	1e-05	0.842132	1e-05	1e-05	UNT_016_reseq
0.332456	0.487058	0.032	0.058799	0.034907	1e-05	0.05476	1e-05	CAMPUB_157
0.483293	0.333807	0.161629	1e-05	1e-05	0.021231	1e-05	1e-05	CAMPUB_079
0.280765	0.023664	0.244509	1e-05	0.12279	0.021455	0.306796	1e-05	CAMPUB_101
0.081878	0.229626	0.119707	0.046084	0.464648	0.038418	0.01963	1e-05	CAMPUB_207
0.096573	0.246329	0.292373	0.033488	1e-05	1e-05	1e-05	0.331207	CAMPUB_158
1e-05	1e-05	0.36091	1e-05	1.4e-05	1e-05	1e-05	0.639026	CAMPUB_214
1e-05	0.036205	0.305618	1e-05	0.067061	0.113041	0.478044	1e-05	UNT_012_reseq
1.4e-05	1e-05	0.486684	1e-05	1e-05	1e-05	0.513252	1e-05	CAMPUB_232
0.109861	0.081346	0.24982	1e-05	1e-05	0.183499	0.375443	1e-05	UNT_056_reseq
0.256724	1e-05	0.332535	0.215632	0.168331	0.021184	0.005574	1e-05	CAMPUB_156
0.170555	1e-05	0.333387	0.209331	0.174284	0.105821	1e-05	0.006602	UNT_052_reseq
0.238461	1e-05	0.404072	1e-05	1e-05	1e-05	0.187399	0.170028	CAMPUB_200
1.2e-05	1.7e-05	0.401187	1e-05	1.3e-05	1e-05	1e-05	0.598742	CAMPUB_151
1e-05	1.1e-05	0.55392	1.1e-05	1.1e-05	1e-05	1e-05	0.446018	CAMPUB_230
1e-05	1.9e-05	0.51009	1.1e-05	1.4e-05	1e-05	1e-05	0.489836	CAMPUB_247
1e-05	0.127411	0.366993	1e-05	0.125313	0.11009	0.270163	1e-05	CAMPUB_087
1e-05	1e-05	0.453529	1e-05	1e-05	1e-05	0.546411	1e-05	CAMPUB_198
1e-05	1e-05	0.557702	1e-05	1e-05	1e-05	1e-05	0.442238	CAMPUB_089
1.8e-05	1e-05	0.534403	1e-05	1e-05	1.7e-05	1e-05	0.465521	CAMPUB_112
0.428613	1e-05	0.57132	1.2e-05	1.5e-05	1e-05	1e-05	1e-05	CAMPUB_092
0.497481	1e-05	0.502459	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_114
0.134093	0.007921	0.451072	0.007319	0.277201	0.122374	1e-05	1e-05	UNT_003_reseq
1e-05	1e-05	0.583431	1e-05	1e-05	1.9e-05	0.416499	1e-05	CAMPUB_095
0.345671	1e-05	0.626967	0.027312	1e-05	1e-05	1e-05	1e-05	CAMPUB_119
0.067467	0.070901	0.554206	1.4e-05	0.307377	1.6e-05	1e-05	1e-05	CAMPUB_088
1e-05	0.437898	0.562036	1e-05	1.4e-05	1.2e-05	1e-05	1e-05	CAMPUB_090
1e-05	1e-05	0.684551	0.243931	1e-05	0.071468	1e-05	1e-05	UNT_004_reseq
1e-05	1e-05	0.56494	1e-05	0.434998	1.3e-05	1e-05	1e-05	CAMPUB_199
0.049419	0.321723	0.59362	1.4e-05	1e-05	1e-05	1e-05	0.035194	CAMPUB_250
1e-05	1e-05	0.702706	1e-05	1e-05	1e-05	0.297234	1e-05	CAMPUB_235
0.14421	1e-05	0.739465	0.017016	0.076275	0.023003	1e-05	1e-05	CAMPUB_086
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_002_reseq
1e-05	1e-05	0.972439	1.7e-05	1e-05	0.027494	1e-05	1e-05	UNT_018_reseq
1e-05	0.009448	0.950842	1e-05	0.03966	1e-05	1e-05	1e-05	CAMPUB_170
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_231
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_241
1.3e-05	1.1e-05	0.999926	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_234
1e-05	1.8e-05	0.999922	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_073
1e-05	1.6e-05	0.999924	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_228
1e-05	1e-05	0.999921	1e-05	1e-05	1.2e-05	1.7e-05	1e-05	CAMPUB_083
1e-05	1e-05	0.999927	1e-05	1.3e-05	1e-05	1e-05	1e-05	CAMPUB_239
1e-05	1e-05	0.999922	1e-05	1e-05	1e-05	1.8e-05	1e-05	CAMPUB_104
1e-05	1e-05	0.999924	1.3e-05	1e-05	1.3e-05	1e-05	1e-05	CAMPUB_108
1e-05	1.9e-05	0.999911	1e-05	1e-05	1.7e-05	1.4e-05	1e-05	CAMPUB_028
1e-05	1.3e-05	0.999924	1e-05	1e-05	1.3e-05	1e-05	1e-05	CAMPUB_033
0.116749	0.28929	0.011165	0.031759	0.493199	1e-05	1e-05	0.057817	CAMPUB_124
0.043698	0.652003	1e-05	0.028351	0.270549	1e-05	1e-05	0.005369	CAMPUB_218
0.218293	0.171204	1.2e-05	0.091084	0.296938	0.138525	1e-05	0.083934	UNT_046_reseq
0.169655	0.264307	0.031901	0.014368	0.519739	1e-05	1e-05	1e-05	CAMPUB_169
0.159963	0.348708	0.017437	0.017299	0.430932	1e-05	1e-05	0.025642	CAMPUB_226
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	CAMPUB_035
1e-05	0.061987	1e-05	0.008277	0.832534	0.052655	1e-05	0.044517	UNT_030_reseq
0.020739	1e-05	0.152442	0.025104	0.56405	0.160366	0.01544	0.061848	UNT_039_reseq
0.278038	1e-05	1e-05	1e-05	0.708065	1.3e-05	1e-05	0.013845	CAMPUB_216
1e-05	1e-05	1e-05	1e-05	0.670865	1e-05	0.329075	1e-05	CAMPUB_257
1e-05	0.366189	1e-05	1e-05	0.63375	1e-05	1e-05	1e-05	CAMPUB_278
1e-05	0.371368	1e-05	1e-05	0.628572	1e-05	1e-05	1e-05	UNT_057
1e-05	0.267578	1.9e-05	1e-05	0.732353	1e-05	1e-05	1e-05	CAMPUB_204
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	CAMPUB_055
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	CAMPUB_173
1e-05	0.064585	0.063463	1e-05	0.759851	1e-05	0.072433	0.039638	CAMPUB_041
0.068826	0.084479	0.053445	1e-05	0.557871	0.155198	0.049431	0.030739	UNT_024_reseq
0.022593	0.062123	0.127763	1e-05	0.787482	1e-05	1e-05	1e-05	CAMPUB_160
0.027883	0.053121	0.050958	1e-05	0.799925	0.068083	1e-05	1e-05	CAMPUB_171
0.010942	0.039573	0.089312	1e-05	0.804519	0.055625	1e-05	1e-05	CAMPUB_262
1e-05	0.16867	0.076957	1e-05	0.717516	0.036816	1e-05	1e-05	CAMPUB_120
1e-05	0.033574	0.037751	1e-05	0.73083	0.197805	1e-05	1e-05	UNT_026_reseq
1.2e-05	0.188004	0.006414	1e-05	0.648154	0.157386	1e-05	1e-05	UNT_027_new
1e-05	0.16301	0.035645	1e-05	0.674093	0.127212	1e-05	1e-05	UNT_028_reseq
1e-05	0.792945	1e-05	1e-05	0.206995	1e-05	1e-05	1e-05	CAMPUB_057
1e-05	0.758944	1e-05	1e-05	0.190364	0.050642	1e-05	1e-05	UNT_025_new
1e-05	0.643693	0.029786	1e-05	0.325074	1e-05	0.001407	1e-05	CAMPUB_045
1e-05	0.572155	1e-05	1e-05	0.311704	0.116091	1e-05	1e-05	UNT_019_new
0.142494	0.587521	1e-05	0.022857	0.247088	1e-05	1e-05	1e-05	CAMPUB_056
0.383298	0.490416	1e-05	0.030326	0.095919	1e-05	1e-05	1e-05	CAMPUB_223
0.23723	0.558866	1e-05	0.032914	0.156461	1e-05	0.014499	1e-05	CAMPUB_225
0.221418	0.490086	0.034033	0.025163	0.227317	1e-05	1e-05	0.001963	CAMPUB_025
0.098014	0.901926	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_111
0.200784	0.590017	1.8e-05	0.053294	1e-05	0.058204	1e-05	0.097664	UNT_029_reseq
0.348447	0.64571	1e-05	1e-05	1e-05	1e-05	1e-05	0.005793	CAMPUB_255
0.040188	0.838499	1e-05	1e-05	0.121263	1e-05	1e-05	1e-05	CAMPUB_007
0.092465	0.880049	1e-05	1e-05	1e-05	1e-05	1e-05	0.027436	CAMPUB_252
1e-05	0.93758	1e-05	0.06236	1e-05	1e-05	1e-05	1e-05	CAMPUB_197
1.4e-05	0.999926	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_244
0.219303	0.658563	1.7e-05	0.022787	1.2e-05	0.099299	1e-05	1e-05	UNT_059_reseq
0.223967	0.775973	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_038
0.229551	0.758726	1e-05	0.011673	1e-05	1e-05	1e-05	1e-05	CAMPUB_039
0.222815	0.764896	1e-05	0.01224	1e-05	1e-05	1e-05	1e-05	CAMPUB_049
0.219681	0.764787	1e-05	0.015482	1e-05	1e-05	1e-05	1e-05	CAMPUB_052
0.359648	0.251763	0.011219	0.024051	0.196443	0.111579	1e-05	0.045287	UNT_037_reseq
0.146923	0.336585	1e-05	1e-05	0.516441	1e-05	1e-05	1e-05	CAMPUB_203
0.5437	0.351039	0.00224	1e-05	0.058908	1e-05	1e-05	0.044083	CAMPUB_209
0.466503	0.023397	0.02288	0.073504	0.311223	0.011906	0.015513	0.075074	CAMPUB_074
0.352313	1e-05	1e-05	0.002787	0.643163	1e-05	1e-05	0.001696	CAMPUB_152
0.319309	0.124904	0.013617	0.029481	0.402738	0.106151	1e-05	0.003791	CAMPUB_259
0.284368	0.103838	0.036609	0.075763	0.395623	0.055514	0.0144	0.033884	CAMPUB_261
0.529287	0.051185	0.016762	0.0417	0.327612	1e-05	1e-05	0.033434	CAMPUB_123
0.390331	1e-05	0.026189	0.014518	0.500091	0.068842	1e-05	1e-05	CAMPUB_029
0.385	1e-05	0.025299	0.015389	0.504221	0.070061	1e-05	1e-05	CAMPUB_030
