V1	V2	V3	V4	V5	V6	V7	V8	V9	accession
0.027119	0.019713	0.053655	0.045689	0.649444	1e-05	0.086672	1e-05	0.117688	UNT_010_reseq
0.22653	1e-05	1e-05	0.061042	0.658068	1e-05	1e-05	1e-05	0.05431	CAMPUB_077
0.131853	1e-05	1e-05	0.032997	0.83509	1e-05	1e-05	1e-05	1e-05	CAMPUB_172
0.330429	1e-05	1e-05	1e-05	0.669501	1e-05	1e-05	1e-05	1e-05	CAMPUB_182
0.188067	1e-05	1e-05	0.116488	0.695385	1e-05	1e-05	1e-05	1e-05	CAMPUB_031
0.088616	0.331869	0.208851	1e-05	0.363203	0.003667	0.003763	1e-05	1e-05	CAMPUB_276
0.216269	1e-05	1e-05	0.135161	0.600948	1e-05	1e-05	1e-05	0.047572	CAMPUB_221
0.151418	0.045988	0.323957	0.082375	0.226168	0.028838	0.074994	1e-05	0.06625	CAMPUB_277
0.003447	0.035725	0.342596	0.246993	0.017027	0.048966	0.04142	0.138299	0.125529	UNT_035_reseq
0.088719	0.058285	0.205828	0.242433	0.039194	0.090862	0.056941	0.007601	0.210137	UNT_042_reseq
0.041059	1e-05	1e-05	1e-05	1e-05	0.148478	0.222099	0.191374	0.39695	UNT_044_reseq
0.056803	1e-05	1e-05	0.025011	1e-05	0.489302	0.11627	0.035445	0.277138	UNT_045_reseq
0.11621	1e-05	0.059963	0.37276	0.06104	0.072121	0.082348	1e-05	0.235538	UNT_043_reseq
0.179017	0.006249	0.150278	0.093275	0.014712	0.117194	0.221056	1e-05	0.218209	UNT_047_reseq
1.9e-05	0.005072	0.021802	1e-05	0.298851	1e-05	0.056116	1e-05	0.61811	UNT_007_reseq
1e-05	1e-05	1e-05	1e-05	0.098548	1e-05	1e-05	1e-05	0.901382	UNT_011_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	UNT_013_reseq
1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.999919	UNT_014_reseq
0.182989	0.005926	0.024868	0.071878	1e-05	1e-05	1e-05	1e-05	0.714299	UNT_015_reseq
0.207709	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.792221	UNT_017_reseq
1e-05	1e-05	1e-05	0.072237	1e-05	0.001939	1e-05	0.349669	0.576106	CAMPUB_165
1e-05	1e-05	1e-05	1e-05	1e-05	0.10881	1e-05	0.346467	0.544663	UNT_054_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.534275	0.465655	UNT_008_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.371901	0.628029	UNT_009_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.095397	0.063621	0.840922	CAMPUB_134
1e-05	1e-05	0.001962	1e-05	1e-05	1e-05	0.077343	1e-05	0.920634	UNT_034_reseq
0.026189	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.162686	0.811057	UNT_006_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	UNT_005_reseq
1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	0.156852	0.843071	UNT_016_reseq
0.329941	0.056385	0.317421	0.060929	0.143034	0.060142	1e-05	0.032128	1e-05	CAMPUB_157
0.303351	1e-05	0.487146	1e-05	0.027564	1e-05	1e-05	0.164852	0.017048	CAMPUB_079
0.00613	0.000912	0.275893	0.123086	0.020416	0.306947	1e-05	0.244627	0.021978	CAMPUB_101
0.057901	0.04419	0.063545	0.490411	0.171825	0.015684	1e-05	0.116176	0.040259	CAMPUB_207
0.219855	0.031761	0.093925	1e-05	0.024955	0.008125	0.327919	0.29344	1e-05	CAMPUB_158
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.638044	0.361886	1e-05	CAMPUB_214
0.035828	1e-05	1e-05	0.066605	1e-05	0.479834	1e-05	0.306064	0.111629	UNT_012_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	0.513084	1e-05	0.486846	1e-05	CAMPUB_232
0.054517	1.1e-05	0.107182	1e-05	0.025997	0.378175	1e-05	0.250907	0.18319	UNT_056_reseq
0.01007	0.215473	0.254892	0.163071	1e-05	0.00343	1e-05	0.331899	0.021144	CAMPUB_156
1e-05	0.210186	0.167662	0.175983	0.003137	1e-05	0.007281	0.332786	0.102946	UNT_052_reseq
1e-05	1e-05	0.238562	1e-05	1e-05	0.187472	0.169482	0.404433	1e-05	CAMPUB_200
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.597171	0.402759	1e-05	CAMPUB_151
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.445437	0.554493	1e-05	CAMPUB_230
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.489158	0.510772	1e-05	CAMPUB_247
0.136216	1.7e-05	1e-05	0.117593	1e-05	0.272186	1e-05	0.368134	0.105824	CAMPUB_087
1e-05	1e-05	1e-05	1e-05	1e-05	0.546315	1e-05	0.453615	1e-05	CAMPUB_198
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.441396	0.558534	1e-05	CAMPUB_089
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.464642	0.535288	1e-05	CAMPUB_112
1e-05	1e-05	0.427965	1e-05	1e-05	1e-05	1e-05	0.571965	1e-05	CAMPUB_092
