Accession	k-means-cluster_(k=10)
UNT_001_reseq	9
UNT_002_reseq	4
UNT_003_reseq	6
UNT_004_reseq	4
UNT_005_reseq	10
UNT_006_reseq	10
UNT_007_reseq	10
UNT_008_reseq	10
UNT_009_reseq	10
UNT_010_reseq	2
UNT_011_reseq	10
UNT_012_reseq	4
UNT_013_reseq	10
UNT_014_reseq	10
UNT_015_reseq	10
UNT_016_reseq	10
UNT_017_reseq	10
UNT_018_reseq	4
UNT_019_new	2
UNT_020_new	9
UNT_021_new	6
UNT_022_reseq	9
UNT_023_reseq	9
UNT_024_reseq	6
UNT_025_new	2
UNT_026_reseq	6
UNT_027_new	6
UNT_028_reseq	6
UNT_029_reseq	6
UNT_030_reseq	4
UNT_031_reseq	6
UNT_032_reseq	6
UNT_033_reseq	6
UNT_034_reseq	10
UNT_035_reseq	6
UNT_037_reseq	6
UNT_038_new	6
UNT_039_reseq	4
UNT_040_reseq	9
UNT_042_reseq	6
UNT_043_reseq	6
UNT_044_reseq	4
UNT_045_reseq	4
UNT_046_reseq	6
UNT_047_reseq	6
UNT_050_reseq	9
UNT_052_reseq	6
UNT_053_reseq	3
UNT_054_reseq	10
UNT_055_reseq	3
UNT_056_reseq	4
UNT_057	5
UNT_058_reseq	1
UNT_059_reseq	8
CAMPUB_007	5
CAMPUB_008	5
CAMPUB_025	6
CAMPUB_028	4
CAMPUB_029	6
CAMPUB_030	6
CAMPUB_031	2
CAMPUB_033	4
CAMPUB_035	4
CAMPUB_036	6
CAMPUB_038	8
CAMPUB_039	8
CAMPUB_040	5
CAMPUB_041	6
CAMPUB_045	2
CAMPUB_049	8
CAMPUB_052	8
CAMPUB_055	4
CAMPUB_056	5
CAMPUB_057	2
CAMPUB_058	3
CAMPUB_061	7
CAMPUB_063	4
CAMPUB_066	6
CAMPUB_067	4
CAMPUB_068	4
CAMPUB_070	7
CAMPUB_072	6
CAMPUB_073	4
CAMPUB_074	6
CAMPUB_077	2
CAMPUB_078	2
CAMPUB_079	6
CAMPUB_080	7
CAMPUB_081	7
CAMPUB_083	4
CAMPUB_084	7
CAMPUB_085	9
CAMPUB_086	4
CAMPUB_087	4
CAMPUB_088	4
CAMPUB_089	3
CAMPUB_090	5
CAMPUB_091	9
CAMPUB_092	6
CAMPUB_095	4
CAMPUB_096	4
CAMPUB_098	6
CAMPUB_099	6
CAMPUB_101	4
CAMPUB_104	4
CAMPUB_108	4
CAMPUB_110	6
CAMPUB_111	5
CAMPUB_112	3
CAMPUB_114	6
CAMPUB_116	9
CAMPUB_119	4
CAMPUB_120	6
CAMPUB_123	6
CAMPUB_124	6
CAMPUB_131	4
CAMPUB_134	10
CAMPUB_135	1
CAMPUB_136	5
CAMPUB_137	7
CAMPUB_138	9
CAMPUB_145	9
CAMPUB_146	3
CAMPUB_147	9
CAMPUB_148	1
CAMPUB_149	9
CAMPUB_150	7
CAMPUB_151	3
CAMPUB_152	6
CAMPUB_153	6
CAMPUB_154	9
CAMPUB_155	6
CAMPUB_156	4
CAMPUB_157	1
CAMPUB_158	3
CAMPUB_159	3
CAMPUB_160	6
CAMPUB_161	9
CAMPUB_162	3
CAMPUB_164	4
CAMPUB_165	10
CAMPUB_167	7
CAMPUB_168	1
CAMPUB_169	2
CAMPUB_170	4
CAMPUB_171	6
CAMPUB_172	2
CAMPUB_173	4
CAMPUB_174	9
CAMPUB_175	7
CAMPUB_180	9
CAMPUB_182	2
CAMPUB_187	1
CAMPUB_192	3
CAMPUB_193	9
CAMPUB_194	9
CAMPUB_195	3
CAMPUB_196	4
CAMPUB_197	5
CAMPUB_198	4
CAMPUB_199	4
CAMPUB_200	6
CAMPUB_201	3
CAMPUB_203	5
CAMPUB_204	5
CAMPUB_205	6
CAMPUB_206	3
CAMPUB_207	6
CAMPUB_209	6
CAMPUB_210	7
CAMPUB_211	4
CAMPUB_212	5
CAMPUB_214	3
CAMPUB_216	6
CAMPUB_218	5
CAMPUB_219	5
CAMPUB_220	5
CAMPUB_221	2
CAMPUB_223	2
CAMPUB_225	5
CAMPUB_226	2
CAMPUB_228	4
CAMPUB_229	4
CAMPUB_230	3
CAMPUB_231	4
CAMPUB_232	4
CAMPUB_233	1
CAMPUB_234	4
CAMPUB_235	4
CAMPUB_236	4
CAMPUB_237	6
CAMPUB_239	4
CAMPUB_240	4
CAMPUB_241	4
CAMPUB_242	1
CAMPUB_243	9
CAMPUB_244	5
CAMPUB_246	3
CAMPUB_247	3
CAMPUB_248	7
CAMPUB_250	4
CAMPUB_251	7
CAMPUB_252	5
CAMPUB_253	4
CAMPUB_255	5
CAMPUB_256	4
CAMPUB_257	4
CAMPUB_258	3
CAMPUB_259	6
CAMPUB_260	1
CAMPUB_261	6
CAMPUB_262	6
CAMPUB_264	7
CAMPUB_266	6
CAMPUB_268	6
CAMPUB_269	7
CAMPUB_270	1
CAMPUB_271	7
CAMPUB_272	7
CAMPUB_273	1
CAMPUB_276	2
CAMPUB_277	2
CAMPUB_278	5
