Accession	k-means-cluster_(k=5)
CAMPUB_007	2
CAMPUB_008	2
CAMPUB_025	5
CAMPUB_028	2
CAMPUB_029	5
CAMPUB_030	5
CAMPUB_031	2
CAMPUB_033	2
CAMPUB_035	5
CAMPUB_036	2
CAMPUB_038	3
CAMPUB_039	3
CAMPUB_040	2
CAMPUB_041	5
CAMPUB_045	2
CAMPUB_049	3
CAMPUB_052	3
CAMPUB_055	5
CAMPUB_056	2
CAMPUB_057	2
CAMPUB_058	1
CAMPUB_061	1
CAMPUB_063	2
CAMPUB_066	2
CAMPUB_067	2
CAMPUB_068	2
CAMPUB_070	1
CAMPUB_072	2
CAMPUB_073	2
CAMPUB_074	5
CAMPUB_077	2
CAMPUB_078	4
CAMPUB_079	2
CAMPUB_080	1
CAMPUB_081	1
CAMPUB_083	2
CAMPUB_084	1
CAMPUB_085	4
CAMPUB_086	2
CAMPUB_087	2
CAMPUB_088	2
CAMPUB_089	1
CAMPUB_090	2
CAMPUB_091	4
CAMPUB_092	2
CAMPUB_095	2
CAMPUB_096	2
CAMPUB_098	5
CAMPUB_099	2
CAMPUB_101	2
CAMPUB_104	2
CAMPUB_108	2
CAMPUB_110	5
CAMPUB_111	2
CAMPUB_112	1
CAMPUB_114	2
CAMPUB_116	4
CAMPUB_119	2
CAMPUB_120	5
CAMPUB_123	5
CAMPUB_124	5
CAMPUB_131	2
CAMPUB_134	2
CAMPUB_135	2
CAMPUB_136	2
CAMPUB_137	1
CAMPUB_138	4
CAMPUB_145	4
CAMPUB_146	1
CAMPUB_147	4
CAMPUB_148	2
CAMPUB_149	4
CAMPUB_150	1
CAMPUB_151	1
CAMPUB_152	5
CAMPUB_153	1
CAMPUB_154	2
CAMPUB_155	1
CAMPUB_156	2
CAMPUB_157	2
CAMPUB_158	2
CAMPUB_159	1
CAMPUB_160	5
CAMPUB_161	4
CAMPUB_162	1
CAMPUB_164	2
CAMPUB_165	2
CAMPUB_167	1
CAMPUB_168	2
CAMPUB_169	5
CAMPUB_170	2
CAMPUB_171	5
CAMPUB_172	2
CAMPUB_173	5
CAMPUB_174	4
CAMPUB_175	1
CAMPUB_180	4
CAMPUB_182	2
CAMPUB_187	2
CAMPUB_192	1
CAMPUB_193	4
CAMPUB_194	4
CAMPUB_195	1
CAMPUB_196	2
CAMPUB_197	2
CAMPUB_198	2
CAMPUB_199	5
CAMPUB_200	2
CAMPUB_201	1
CAMPUB_203	2
CAMPUB_204	2
CAMPUB_205	5
CAMPUB_206	1
CAMPUB_207	5
CAMPUB_209	2
CAMPUB_210	1
CAMPUB_211	2
CAMPUB_212	2
CAMPUB_214	1
CAMPUB_216	5
CAMPUB_218	2
CAMPUB_219	5
CAMPUB_220	5
CAMPUB_221	2
CAMPUB_223	2
CAMPUB_225	2
CAMPUB_226	5
CAMPUB_228	2
CAMPUB_229	2
CAMPUB_230	1
CAMPUB_231	2
CAMPUB_232	2
CAMPUB_233	2
CAMPUB_234	2
CAMPUB_235	2
CAMPUB_236	2
CAMPUB_237	5
CAMPUB_239	2
CAMPUB_240	2
CAMPUB_241	2
CAMPUB_242	2
CAMPUB_243	4
CAMPUB_244	2
CAMPUB_246	1
CAMPUB_247	1
CAMPUB_248	1
CAMPUB_250	2
CAMPUB_251	1
CAMPUB_252	2
CAMPUB_253	2
CAMPUB_255	2
CAMPUB_256	2
CAMPUB_257	5
CAMPUB_258	1
CAMPUB_259	5
CAMPUB_260	2
CAMPUB_261	5
CAMPUB_262	5
CAMPUB_264	1
CAMPUB_266	2
CAMPUB_268	2
CAMPUB_269	1
CAMPUB_270	2
CAMPUB_271	1
CAMPUB_272	1
CAMPUB_273	2
CAMPUB_276	2
CAMPUB_277	2
CAMPUB_278	2
UNT_001_reseq	4
UNT_002_reseq	2
UNT_003_reseq	5
UNT_004_reseq	2
UNT_005_reseq	2
UNT_006_reseq	2
UNT_007_reseq	2
UNT_008_reseq	2
UNT_009_reseq	2
UNT_010_reseq	2
UNT_011_reseq	2
UNT_012_reseq	2
UNT_013_reseq	2
UNT_014_reseq	2
UNT_015_reseq	2
UNT_016_reseq	2
UNT_017_reseq	2
UNT_018_reseq	2
UNT_019_new	2
UNT_020_new	4
UNT_021_new	2
UNT_022_reseq	4
UNT_023_reseq	4
UNT_024_reseq	5
UNT_025_new	2
UNT_026_reseq	5
UNT_027_new	5
UNT_028_reseq	5
UNT_029_reseq	5
UNT_030_reseq	5
UNT_031_reseq	2
UNT_032_reseq	2
UNT_033_reseq	2
UNT_034_reseq	2
UNT_035_reseq	5
UNT_037_reseq	5
UNT_038_new	2
UNT_039_reseq	5
UNT_040_reseq	4
UNT_042_reseq	5
UNT_043_reseq	5
UNT_044_reseq	2
UNT_045_reseq	2
UNT_046_reseq	5
UNT_047_reseq	2
UNT_050_reseq	4
UNT_052_reseq	5
UNT_053_reseq	1
UNT_054_reseq	2
UNT_055_reseq	1
UNT_056_reseq	2
UNT_057	2
UNT_058_reseq	2
UNT_059_reseq	3
